Land;Region;Jährliche 8 inch Wafer Produktion;KgCO2eq Pro Wafer;Wasserverbrauch Pro Wafer (L);Elektrizitaetsverbrauch Pro Wafer (kWh);Avg Wasser Kosten in US$ Pro Wafer;Avg Elektrizitaetskosten in US$ Pro Wafer;Avg Siliziumskosten in US$ Pro Wafer;Avg Gesamtkosten in US$ Pro Wafer
Australien;Asien-Pazifik;207600;2151.66;7379.55;1000.2440328803816;4.42773;275.06710904210445;0.6678;280.1626390421045
Österreich;Europa;2250612;2510.27;48275.27;3296.98640030864;156.8946275;659.3972800617273;0.769825;817.0617325617276
Belarus;Europa;214500;1434.44;12268.210000000001;1417.00415810253;39.8716825;283.400831620506;0.4399;323.7124141205059
Belgien;Europa;227400;2741.27;267296.81;3645.775138565814;868.7146325;729.1550277131643;0.549875;1598.419535213163
Brasilien;Amerika;47256;358.61;11703.3;603.868180746656;14.629125;87.5608862082651;0.14575;102.335761208265
Bulgarien;Europa;5628;358.61;1792.8;28.3756609665248;5.8266;5.67513219330495;0.109975;11.611707193305
Kanada;Amerika;242964;4355.34;193451.92;4789.187203078614;241.8149;694.4321444463993;1.7489999999999999;937.9960444464002
China;Asien-Pazifik;33271296;70980.36;5333579.17;75556.71220672585;3200.147502;20778.095856849617;18.5871;23996.830458849618
Tschechische Republik;Europa;486000;358.61;40047.27;603.868325504327;130.1536275;120.773665100866;0.109975;251.037267600866
Dänemark;Europa;3372;775.34;1548.52;182.409762090968;5.03269;36.4819524181937;0.109975;41.6246174181937
England;Europa;919716;4661.93;177270.93;3976.7234043290778;576.1305225;795.3446808658167;1.429675;1372.9048783658168
Finnland;Europa;85584;1793.0500000000002;75050.5;1075.9086514816308;243.914125;215.18173029632595;0.549875;459.6457302963257
Frankreich;Europa;2384184;1844.5900000000001;1373033.17;9508.633681496678;4462.3578025;1901.726736299339;2.1995;6366.284038799341
Deutschland;Europa;6995832;13289.669999999998;847224.03;25267.830115855784;2753.4780975;5053.566023171167;5.2788;7812.322920671166
Indien;Asien-Pazifik;26352;2510.27;35529.64;2340.1029191496978;21.317784;643.5283027661668;0.7791;665.6251867661668
Irland;Europa;1707000;842.02;14528.560000000001;3025.784961497061;47.21782;605.1569922994136;0.329925;652.704737299413
Israel;Europa;1905672;2070.07;30397.47;4259.962777876118;98.7917775;851.9925555752234;0.549875;951.3342080752233
Italien;Europa;2201988;4355.34;40407.479999999996;4222.3653600982725;131.32431;844.4730720196546;1.3197;977.117082019655
Japan;Japan;45600876;67397.43000000001;1179497.25;128887.01684087196;501.28633125;21910.792862948227;14.9884;22427.067594198226
Lettland;Europa;60000;358.61;1050.37;113.50289407804;3.4137025;22.7005788156079;0.109975;26.2242563156079
Malaysia;Asien-Pazifik;3258312;3586.1000000000004;62424.04;5029.351805320814;37.454423999999996;1383.071746463225;1113;1421.6391704632251
Niederlande;Europa;716400;1075.83;14454.759999999998;998.765093978219;46.97797;199.75301879564392;0.329925;247.0609137956444
Norwegen;Europa;13536;1434.44;9526.43;602.9815585655178;30.9608975;120.59631171310362;0.4399;151.9971092131036
Russland;Europa;859464;8234.59;248182.95;5932.8778064530015;806.5945875;1186.5755612905987;2.309475;1995.4796237905978
Schottland;Europa;279696;3461.65;187160.02000000002;4157.208480834634;608.2700649999999;831.4416961669288;0.9897750000000001;1440.701536166929
Singapur;Asien-Pazifik;13209264;7291.27;125251.83;34681.15072959314;75.151098;9537.31645063808;2.6712;9615.138748638083
Slowakei;Europa;12000;358.61;12174.88;113.502500724002;39.56836;22.7005001448003;0.109975;62.3788351448003
Slowenien;Europa;30000;358.61;8551.91;113.502503294128;27.7937075;22.7005006588256;0.109975;50.6041831588256
Südkorea;Asien-Pazifik;38603964;19323.14;12104542.67;218100.64744415594;7262.7256019999995;59977.678047142785;5.5649999999999995;67245.96864914271
Schweden;Europa;159384;2027.21;113674.54;1537.054541436953;369.442255;307.4109082873905;0.549875;677.4030382873902
Schweiz;Europa;803880;3007.3900000000003;192692.25;2650.937041971466;626.2498125;530.1874083942928;0.8798;1157.317020894293
Taiwan;Asien-Pazifik;44501040;47505.64;4874845.54;193569.2328600938;2924.9073240000002;53231.53903652581;12.4656;56168.91196052581
Thailand;Asien-Pazifik;9156;717.22;6238.15;717.3703869613461;3.74289;197.27685641437049;0.2226;201.2423464143705
Türkei;Europa;8892;717.22;1594.25;177.34757295450981;5.181312500000001;35.4695145909021;0.21995;40.8707770909021
USA;Amerika;30224736;73150.56999999999;6557787.92;177855.45927234672;8197.2349;25789.04159449025;35.562999999999995;34021.839494490254
Vereinigte Arabische Emirate;Asien-Pazifik;1008;358.61;5185.94;603.863413736468;3.111564;166.062438777529;0.1113;169.285302777529
Wales;Europa;180084;717.22;42121.880000000005;1054.8086211670982;136.89611;210.9617242334196;0.21995;348.0777842334196